Dataset root: datasets/SlopeLAS
Splits: ['train', 'val', 'test']
Block size: 20.0
--------------------------------------------------------------------------------
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting1_sim_block_00001.npy | N=65536 | density_bbox=176.39 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00001.npy | N=65536 | density_bbox=176.39 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00002.npy | N=65536 | density_bbox=257.73 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00003.npy | N=65536 | density_bbox=260.26 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00004.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00005.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00006.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00007.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00008.npy | N=65536 | density_bbox=214.87 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00010.npy | N=65536 | density_bbox=168.57 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00011.npy | N=65536 | density_bbox=168.57 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00012.npy | N=65536 | density_bbox=471.91 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00013.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00014.npy | N=65536 | density_bbox=187.83 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2_sim_block_00015.npy | N=65536 | density_bbox=202.28 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00000.npy | N=65536 | density_bbox=411.57 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00001.npy | N=65536 | density_bbox=275.09 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00002.npy | N=65536 | density_bbox=208.21 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00003.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00004.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00006.npy | N=65536 | density_bbox=398.74 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00007.npy | N=65536 | density_bbox=235.97 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00008.npy | N=65536 | density_bbox=184.35 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00010.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00011.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00012.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00013.npy | N=65536 | density_bbox=298.82 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00014.npy | N=65536 | density_bbox=1186.17 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00015.npy | N=65536 | density_bbox=220.75 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00016.npy | N=65536 | density_bbox=167.48 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00017.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00018.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00019.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00020.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00021.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00022.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00023.npy | N=65536 | density_bbox=285.83 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00024.npy | N=65536 | density_bbox=730.46 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00025.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00026.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00027.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00029.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00031.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00033.npy | N=65536 | density_bbox=273.92 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00034.npy | N=65536 | density_bbox=657.41 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00035.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00037.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00038.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00039.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00040.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00041.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00042.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00043.npy | N=65536 | density_bbox=262.97 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00045.npy | N=65536 | density_bbox=173.00 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00046.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00047.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00049.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00050.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00052.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00054.npy | N=65536 | density_bbox=547.85 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00056.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00057.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00058.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00059.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00060.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00061.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00062.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00063.npy | N=65536 | density_bbox=243.49 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00064.npy | N=65536 | density_bbox=505.70 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00065.npy | N=65536 | density_bbox=190.56 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00066.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00067.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00068.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00069.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00070.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00072.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00073.npy | N=65536 | density_bbox=243.49 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00074.npy | N=65536 | density_bbox=505.70 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00076.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00077.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00079.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00081.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00083.npy | N=65536 | density_bbox=239.06 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00084.npy | N=65536 | density_bbox=486.97 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00085.npy | N=65536 | density_bbox=212.07 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00087.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00088.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00090.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00091.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00094.npy | N=65536 | density_bbox=424.14 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00095.npy | N=65536 | density_bbox=226.69 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00096.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00097.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00098.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00100.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00101.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00102.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00103.npy | N=65536 | density_bbox=212.07 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00104.npy | N=65536 | density_bbox=386.71 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00105.npy | N=65536 | density_bbox=234.79 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00106.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00107.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00108.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00109.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00110.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00111.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00112.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00113.npy | N=65536 | density_bbox=208.70 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00114.npy | N=65536 | density_bbox=375.67 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00115.npy | N=65536 | density_bbox=252.85 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00116.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00117.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00118.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00119.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00120.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00121.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00122.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00123.npy | N=65536 | density_bbox=205.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00124.npy | N=65536 | density_bbox=365.23 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00125.npy | N=65536 | density_bbox=268.33 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00126.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00127.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00129.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00130.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00131.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00134.npy | N=65536 | density_bbox=337.14 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00135.npy | N=65536 | density_bbox=292.18 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00136.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00137.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00138.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00139.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
